ip4	ip6
116.203.29.242	2a01:4f8:c2c:133b::1
208.81.1.105	2605:e200:d202:300:20c:29ff:fef1:85ec
85.10.192.158	2a01:4f8:a0:64f6::2
45.63.54.13	2001:19f0:6001:306f:ec4:7aff:fe8f:66ec
151.106.40.23	2001:41d0:700:4517::
98.111.246.120	2001:470:1f07:803:20c:29ff:fe2d:5879
83.162.251.163	2001:985:79af:20::35
66.240.237.172	2002:42f0:ed9b::42f0:ed9b
66.240.237.172	2002:42f0:edac::42f0:edac
66.240.237.172	2002:42f0:edb4::42f0:edb4
66.240.237.172	2002:42f0:edaa::42f0:edaa
144.76.98.163	2a01:4f8:192:33a2::2
5.9.142.41	2a01:4f8:190:2126::2
98.234.207.237	2601:647:8381:4c80:441:77c0:2a27:4321
176.9.112.164	2a01:4f8:151:62c1::2
3.82.1.213	2a01:e0a:3f7:89f0:585f:2500:60da:25c1
178.20.100.35	2a02:2b80:101:104::614
5.9.67.151	2a01:4f8:161:728a::2
95.216.41.228	2a01:4f9:2a:201b::2
5.9.54.133	2a01:4f8:161:50a6::2
93.190.140.14	2002:5dbe:8c0e::5dbe:8c0e
84.22.114.15	2a02:2770:17:0:21a:4aff:fe7b:175f
151.236.34.161	2a02:af8:fab0:804:151:236:34:161
54.242.27.58	2a0b:dbc1:2:8194:62:6974:636f:696e
176.9.38.164	2a01:4f8:150:44af::2
5.9.48.243	2a01:4f8:161:40f3::2
136.243.4.204	2a01:4f8:211:1e4b::2
68.194.85.201	2002:44c2:55c9:e472:2c99:2ca9:ad07:7f05
116.202.171.210	2a01:4f8:241:aec::2
70.95.8.84	2a0b:dbc1:2:8194:62:6974:636f:696e
67.210.228.203	2605:ae00:203::203
149.202.192.164	2001:41d0:1000:a4::
82.80.142.219	2a01:4f9:2b:67::31
198.178.120.5	2604:4500::2e06
85.10.195.47	2a01:4f8:a0:24c1::2
168.119.0.182	2a01:4f8:242:4b89::2
91.121.86.38	2001:41d0:1:8b26::1
138.68.92.248	2a03:b0c0:3:d0::41d:b001
5.9.155.54	2a01:4f8:190:430c::2
174.95.0.121	2a0b:dbc1:2:8194:62:6974:636f:696e
176.9.80.243	2a01:4f8:151:14f0::2
5.9.86.83	2a01:4f8:162:10ae::2
144.217.65.241	2607:5300:60:cff1::
34.94.137.151	2a0b:dbc1:2:8194:62:6974:636f:696e
144.76.19.35	2a01:4f8:191:1122::2
195.201.164.162	2a01:4f8:13a:cdd::2
85.214.123.127	2a01:238:4380:1400:ac93:d34b:7f20:ea18
88.198.33.241	2a01:4f8:a0:3043::2
176.9.22.148	2a01:4f8:150:2088::2
5.9.73.215	2a01:4f8:161:83c4::2
37.61.219.34	2a01:7a0:2:1511:ae1f:6bff:fe20:4c74
5.9.158.123	2a01:4f8:190:5176::123
